ethernet end time	clustering start time	Inference Time(ms)	clustering end time	draw start time	Inference Time(ms)	draw end time	imshow start time	Inference Time(ms)	imshow end time
1713851613702238	1713851613790296	228	1713851613790524	1713851613790547	315	1713851613790862	1713851613790864	12155	1713851613803019
1713851614736590	1713851614757708	105	1713851614757813	1713851614757820	137	1713851614757957	1713851614757961	10852	1713851614768813
1713851615699661	1713851615712457	161	1713851615712618	1713851615712637	368	1713851615713005	1713851615713009	11880	1713851615724889
1713851616690006	1713851616702188	73	1713851616702261	1713851616702265	159	1713851616702424	1713851616702426	10806	1713851616713232
1713851617699998	1713851617711654	163	1713851617711817	1713851617711836	544	1713851617712380	1713851617712496	13646	1713851617726142
1713851618691881	1713851618704005	187	1713851618704192	1713851618704202	435	1713851618704637	1713851618704642	12903	1713851618717545
1713851619699753	1713851619713407	178	1713851619713585	1713851619713600	412	1713851619714012	1713851619714016	13622	1713851619727638
1713851620690416	1713851620703259	146	1713851620703405	1713851620703417	292	1713851620703709	1713851620703715	12459	1713851620716174
1713851621965339	1713851621976566	64	1713851621976630	1713851621976641	143	1713851621976784	1713851621976792	11094	1713851621987886
1713851622814406	1713851623005699	68	1713851623005767	1713851623005774	175	1713851623005949	1713851623005951	13917	1713851623019868
